index,reward,baseline,loss
0,0.013044,0.013044,0.000000
1,0.012912,0.013044,-0.004732
2,0.010050,0.013041,-0.105672
3,0.011852,0.013040,-0.042254
4,0.012455,0.013039,-0.020530
5,0.009800,0.013036,-0.115859
6,0.008072,0.013031,-0.174465
7,0.012846,0.013031,-0.006500
8,0.011451,0.013029,-0.055752
9,0.009609,0.013026,-0.120123
10,0.012072,0.013025,-0.034064
11,0.011635,0.013024,-0.048778
12,0.009421,0.013020,-0.126417
13,0.010247,0.013017,-0.098775
14,0.011759,0.013016,-0.044506
15,0.010446,0.013013,-0.090622
16,0.009828,0.013010,-0.112417
17,0.006990,0.013004,-0.212419
18,0.009994,0.013001,-0.106928
19,0.011030,0.012999,-0.070027
