index,reward,baseline,loss
0,-764.481957,-764.481957,0.000000
1,-1000.000000,-764.717476,-8336.463867
2,-1000.000000,-764.952758,-8294.520508
3,-3742.835226,-767.930641,-105160.421875
4,-694.013988,-767.856724,2595.704590
5,-1000.000000,-768.088867,-8193.449219
6,-1000.000000,-768.320778,-8152.223145
7,-691.527996,-768.243985,2742.247559
8,-712.760541,-768.188502,1964.504883
9,-694.705723,-768.115019,2614.069824
10,-754.602280,-768.101507,472.859406
11,-702.972119,-768.036377,2298.031738
12,-695.309325,-767.963650,2567.097656
13,-717.934282,-767.913621,1763.429688
14,-702.008233,-767.847715,2338.649414
